4 4 5348.24658667
8 4 2500.52674333
16 4 1485.53333333
32 4 1516.8
64 4 1804.36666667
128 4 2049.97
256 4 inf

4 8 2973.82342333
8 8 1692.56668333
16 8 1203.54333333
32 8 1241.6233
64 8 1742.06655333
128 8 inf
256 8 inf

4 16 2402.19
8 16 1657.7
16 16 1228.51333333
32 16 1645.95666667
64 16 inf
128 16 inf
256 16 inf

4 32 2389.87
8 32 1732.12666667
16 32 1691.99329333
32 32 inf
64 32 inf
128 32 inf
256 32 inf

4 64 2612.93342667
8 64 2265.12
16 64 inf
32 64 inf
64 64 inf
128 64 inf
256 64 inf

4 128 2982.30320667
8 128 inf
16 128 inf
32 128 inf
64 128 inf
128 128 inf
256 128 inf

4 256 inf
8 256 inf
16 256 inf
32 256 inf
64 256 inf
128 256 inf
256 256 inf

